timestamp,cluster1_count,cluster1_avg_ms,cluster1_p95_ms,cluster2_count,cluster2_avg_ms,cluster2_p95_ms,cluster3_count,cluster3_avg_ms,cluster3_p95_ms
09:21:50,8,215.8,718.5,7,304.9,721.7,6,98.0,176.0
09:22:00,88,62.1,117.6,74,132.8,791.7,58,67.8,113.9
09:22:10,98,56.0,66.7,83,55.3,65.6,66,53.7,58.0
09:22:20,97,56.9,67.8,80,55.9,66.1,61,56.5,63.5
09:22:30,91,55.6,64.1,78,56.4,67.8,62,57.3,65.8
09:22:40,98,55.5,62.1,78,56.0,64.5,63,55.2,62.4
09:22:50,97,56.8,67.1,89,59.0,76.8,63,57.8,77.8
09:23:00,97,55.4,64.7,77,54.8,62.4,64,57.4,66.6
09:23:10,97,55.8,62.4,81,55.3,63.5,58,55.2,67.4
09:23:20,95,55.5,62.7,79,55.0,62.3,64,54.1,61.3
09:23:30,96,56.7,71.6,79,54.5,62.2,65,56.6,64.7
09:23:40,102,57.1,71.8,82,58.7,69.1,62,62.2,63.7
09:23:50,96,57.2,60.1,85,56.6,71.3,67,54.6,60.0
09:24:00,108,56.7,72.8,98,55.5,64.7,74,57.9,98.3
09:24:10,140,55.9,67.8,125,56.3,65.5,89,56.6,63.9
09:24:20,169,57.2,68.3,142,57.3,71.9,106,56.3,63.2
09:24:30,196,55.7,68.2,170,56.7,73.0,112,56.4,69.7
09:24:40,221,57.0,77.1,191,56.1,68.0,140,55.9,71.3
09:24:50,240,56.1,67.6,215,56.7,68.4,155,55.7,63.3
09:25:00,271,55.7,63.8,243,56.2,66.8,167,56.2,63.9
09:25:10,310,57.5,70.4,245,56.3,70.9,189,57.3,71.5
09:25:20,103,59.0,85.2,86,338.7,1002.2,67,56.7,71.2
