timestamp,cluster1_count,cluster1_avg_ms,cluster1_p95_ms,cluster2_count,cluster2_avg_ms,cluster2_p95_ms,cluster3_count,cluster3_avg_ms,cluster3_p95_ms
16:37:20,24,65.4,93.5,20,70.4,91.1,14,72.3,90.5
16:37:30,85,45.6,54.7,86,44.1,53.0,62,45.1,60.3
16:37:40,99,42.5,49.6,79,41.7,49.6,62,42.3,48.7
16:37:50,95,43.9,52.5,87,42.7,49.8,66,42.2,49.4
16:38:00,93,45.5,59.4,77,43.9,53.9,66,42.8,49.5
16:38:10,95,43.7,53.0,85,41.5,47.7,66,42.9,50.6
16:38:20,103,42.6,51.1,79,42.0,48.9,61,41.5,48.5
16:38:30,76,49.1,61.9,60,48.3,62.3,51,45.3,54.4
16:50:20,54,55.7,96.2,56,56.3,100.1,40,57.0,88.4
16:50:30,63,45.5,55.2,89,43.1,49.1,64,44.0,52.6
16:50:40,75,1964.8,16056.4,77,42.7,48.1,64,42.0,48.1
16:50:50,101,44.9,52.1,82,44.2,51.8,66,44.0,51.0
16:51:00,101,44.7,53.7,76,42.0,52.0,64,42.3,47.8
16:51:10,96,42.8,52.1,83,41.0,48.0,65,41.9,48.8
16:51:20,93,44.1,59.1,83,41.6,47.9,62,41.6,48.7
16:51:30,97,44.5,54.4,86,42.8,57.4,64,41.4,47.3
16:51:40,91,43.5,52.6,82,43.1,50.7,58,41.9,48.1
16:51:50,85,43.4,57.0,73,42.1,51.3,55,41.4,47.7
